排名,书籍,封面,作者,时间,时间（无月日）,出版社,评分,评价人数（人）,售价（元）
38,东方快车谋杀案,https://img1.doubanio.com/view/subject/s/public/s1765799.jpg,[英] 阿加莎·克里斯蒂 ,2006-5,2006, 人民文学出版社 ,9.1,136470,18.00
39,献给阿尔吉侬的花束,https://img1.doubanio.com/view/subject/s/public/s28050760.jpg,[美] 丹尼尔·凯斯 ,2015-4,2015, 广西师范大学出版社 ,9.1,100239,36.00
40,基督山伯爵,https://img9.doubanio.com/view/subject/s/public/s3248016.jpg,[法国] 大仲马 ,1991-12-1,1991, 上海译文出版社 ,9.1,127356,43.90
41,许三观卖血记,https://img1.doubanio.com/view/subject/s/public/s24575140.jpg,余华 ,2012-9,2012, 作家出版社 ,9.2,152166,24.00
42,江城,https://img9.doubanio.com/view/subject/s/public/s32271204.jpg,[美] 彼得·海斯勒 ,2012-1,2012, 上海译文出版社 ,9.1,60840,36.00
43,霍乱时期的爱情,https://img3.doubanio.com/view/subject/s/public/s11284102.jpg,[哥伦比亚] 加西亚·马尔克斯 ,2012-9-1,2012, 南海出版公司 ,9.0,278559,39.50
44,卡拉马佐夫兄弟,https://img3.doubanio.com/view/subject/s/public/s28383857.jpg,陀思妥耶夫斯基 (Ф.М.Достоевский) ,2015-2-1,2015, 上海译文出版社 ,9.6,30192,78.00
45,城南旧事,https://img1.doubanio.com/view/subject/s/public/s2654869.jpg,林海音 文 ,2003-7,2003, 中国青年出版社 ,9.1,152980,16.00
46,万历十五年,https://img9.doubanio.com/view/subject/s/public/s1800355.jpg,[美] 黄仁宇 ,1997-5,1997, 生活·读书·新知三联书店 ,9.0,197469,18.00
47,朝花夕拾,https://img1.doubanio.com/view/subject/s/public/s34099290.jpg,鲁迅 ,1973-4,1973, 人民文学出版社 ,9.1,150472,0.25
48,月亮和六便士,https://img1.doubanio.com/view/subject/s/public/s2659208.jpg,[英] 毛姆 ,2006-8,2006, 上海译文出版社 ,9.0,205074,15.00
49,故事新编,https://img3.doubanio.com/view/subject/s/public/s34099297.jpg,鲁迅 ,1973-12-01,1973, 人民文学出版社 ,9.4,41164,0.31
50,艺术的故事,https://img3.doubanio.com/view/subject/s/public/s3219163.jpg,[英] 贡布里希 (Sir E.H.Gombrich) ,2008-04,2008, 广西美术出版社 ,9.5,25497,280.00
51,射雕英雄传,https://img9.doubanio.com/view/subject/s/public/s2157336.jpg,金庸 ,1999-04,1999, 生活·读书·新知三联书店 ,9.1,83899,47.00
52,追风筝的人,https://img1.doubanio.com/view/subject/s/public/s1727290.jpg,[美] 卡勒德·胡赛尼 ,2006-5,2006, 上海人民出版社 ,8.9,785858,29.00
53,厌女,https://img3.doubanio.com/view/subject/s/public/s33797467.jpg,上野千鹤子 ,2015-1,2015, 上海三联书店 ,9.1,76795,28.00
54,寻路中国,https://img1.doubanio.com/view/subject/s/public/s32271209.jpg,[美] 彼得·海斯勒 ,2011-1,2011, 上海译文出版社 ,9.0,55619,33.00
55,置身事内,https://img3.doubanio.com/view/subject/s/public/s33956867.jpg,兰小欢 ,2021-8,2021, 上海人民出版社 ,9.1,71717,65.00
56,刀锋,https://img3.doubanio.com/view/subject/s/public/s2347562.jpg,[英]毛姆 ,2007-3,2007, 上海译文出版社 ,9.0,89033,18.00
57,树上的男爵,https://img9.doubanio.com/view/subject/s/public/s8968135.jpg,[意大利]伊塔洛·卡尔维诺 ,2012-4-1,2012, 译林出版社 ,9.1,57053,30.00
58,格林童话全集,https://img9.doubanio.com/view/subject/s/public/s1043975.jpg,[德国]格林兄弟 ,1994-11,1994, 人民文学出版社 ,9.0,93853,21.45
